n,pythontime
8,0.014
38,0.014
68,0.015
98,0.018
128,0.02
158,0.024
188,0.028
218,0.032
248,0.038
278,0.045
308,0.052
338,0.059
368,0.068
398,0.078
428,0.087
458,0.099
488,0.109
518,0.122
548,0.138
578,0.151
608,0.168
638,0.183
668,0.199
698,0.218
728,0.232
758,0.252
788,0.27
818,0.288
848,0.313
878,0.333
908,0.359
938,0.375
968,0.398
998,0.424
