n,originaltime
8,0.005
38,0.026
68,0.117
98,0.323
128,0.697
158,1.279
188,2.136
218,3.389
248,4.953
278,6.849
308,9.25
338,12.394
368,15.899
398,21.371
428,26.781
458,48.625
488,110.519
